,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.1,-79.24,45.0,70,90,9.17,US,1603681659
1,nikolskoye,59.7,30.79,43.0,93,90,8.95,RU,1603681664
2,padang,-0.95,100.35,83.7,60,100,2.53,ID,1603681594
3,cherskiy,68.75,161.3,16.18,96,100,2.57,RU,1603681627
4,vaini,-21.2,-175.2,73.4,94,90,10.29,TO,1603681681
5,wellington,-41.29,174.78,64.4,77,74,24.16,NZ,1603681674
6,chumikan,54.72,135.31,36.81,74,0,18.05,RU,1603681602
7,rikitea,-23.12,-134.97,73.51,82,100,20.31,PF,1603681689
8,praia,14.92,-23.51,80.6,69,0,18.34,CV,1603681692
9,hobart,-42.88,147.33,62.01,47,75,12.75,AU,1603681555
10,saskylakh,71.92,114.08,8.55,93,100,9.71,RU,1603681699
11,saldanha,-33.01,17.94,55.4,87,0,6.93,ZA,1603681701
12,changli,39.7,119.15,67.69,30,100,6.02,CN,1603681703
13,lebu,-37.62,-73.65,46.89,79,5,4.07,CL,1603681706
14,kenai,60.55,-151.26,36.0,93,90,23.04,US,1603681710
15,punta arenas,8.99,125.34,86.14,63,99,2.59,PH,1603681714
16,moose factory,43.66,-110.72,8.6,60,20,8.05,US,1603681716
17,clinton,42.59,-82.92,44.6,75,90,6.93,US,1603681504
18,chokurdakh,70.63,147.92,6.51,91,0,9.22,RU,1603681732
19,dudinka,69.41,86.18,10.4,85,75,11.18,RU,1603681735
20,rincon,32.3,-81.24,73.4,88,20,3.6,US,1603681739
21,itacare,-14.28,-39.0,74.61,94,100,6.31,BR,1603681741
22,arraial do cabo,-22.84,-46.65,66.2,88,0,5.82,BR,1603681742
23,rexburg,43.83,-111.79,21.2,34,1,12.75,US,1603681644
24,fortuna,40.6,-124.16,51.01,66,1,4.7,US,1603681683
25,albany,42.6,-73.97,41.0,59,28,2.53,US,1603681747
26,ushuaia,-54.8,-68.3,42.8,87,0,11.41,AR,1603681621
27,bluff,-46.6,168.33,55.99,54,28,5.99,NZ,1603681752
28,lagoa,39.05,-27.98,64.92,78,100,12.71,PT,1603681754
29,saint-philippe,-21.36,55.77,69.8,68,0,5.82,RE,1603681598
30,saint-joseph,-21.37,55.62,69.8,68,0,5.82,RE,1603681761
31,kaitangata,-46.28,169.85,53.01,57,96,7.0,NZ,1603681764
32,kirkenaer,60.46,12.06,43.0,99,100,4.61,NO,1603681766
33,richards bay,46.84,-95.91,23.0,85,75,3.36,US,1603681768
34,kruisfontein,-34.0,24.73,62.01,94,100,7.0,ZA,1603681770
35,cabo san lucas,-8.28,-35.03,80.6,74,40,4.7,BR,1603681675
36,bumba,2.18,22.47,70.32,98,100,1.86,CD,1603681776
37,avarua,-21.21,-159.78,75.2,69,81,20.8,CK,1603681786
38,aktash,50.3,87.73,20.12,82,99,4.34,RU,1603681790
39,ponta do sol,38.73,-28.27,62.37,85,100,8.19,PT,1603681793
40,kysyl-syr,63.9,122.76,17.1,95,100,10.71,RU,1603681795
41,lata,40.16,-8.33,55.0,83,38,1.99,PT,1603681797
42,esperance,-33.87,121.9,77.0,31,0,19.46,AU,1603681801
43,vila franca do campo,42.03,-8.16,43.0,95,61,1.99,PT,1603681804
44,georgetown,5.41,100.34,80.6,78,20,5.82,MY,1603681559
45,vostok,46.49,135.88,40.42,77,21,5.37,RU,1603681808
46,fallon,39.47,-118.78,35.6,27,1,14.99,US,1603681811
47,samfya,-11.36,29.56,71.46,51,58,7.63,ZM,1603681812
48,basco,20.45,121.97,80.35,83,99,29.84,PH,1603681814
49,khatanga,71.97,102.5,6.33,95,97,10.16,RU,1603681623
50,sao filipe,20.51,76.21,75.47,67,0,3.06,IN,1603681819
51,kapaa,22.08,-159.32,82.4,69,40,6.93,US,1603681822
52,berlevag,70.86,29.09,33.89,89,100,26.33,NO,1603681824
53,longyearbyen,78.22,15.64,26.6,86,75,4.7,SJ,1603681825
54,mataura,-46.19,168.86,55.99,54,74,5.99,NZ,1603681827
55,lakki marwat,32.61,70.91,73.08,30,0,1.86,PK,1603681828
56,lompoc,34.64,-120.46,60.8,77,90,9.17,US,1603681831
57,inhambane,-23.86,35.38,71.56,89,11,3.02,MZ,1603681833
58,cairns,-16.92,145.77,88.0,62,45,6.93,AU,1603681547
59,mackay,-21.15,149.2,86.0,62,29,13.87,AU,1603681836
60,atuona,-9.8,-139.03,79.05,74,0,19.8,PF,1603681709
61,pangai,-19.8,-174.35,75.2,94,90,19.46,TO,1603681839
62,bubaque,11.28,-15.83,83.12,79,0,7.61,GW,1603681841
63,ozernovskiy,51.5,156.52,46.51,77,100,5.64,RU,1603681842
64,nurota,40.56,65.69,42.8,56,10,9.17,UZ,1603681845
65,tuktoyaktuk,69.45,-133.04,15.8,92,75,16.11,CA,1603681848
66,opelousas,30.53,-92.08,62.01,87,40,5.5,US,1603681850
67,ust-ordynskiy,52.8,104.75,26.6,73,0,4.47,RU,1603681851
68,katsuura,35.13,140.3,72.0,68,40,4.7,JP,1603681853
69,pisco,-13.7,-76.22,63.0,82,0,14.99,PE,1603681855
70,port alfred,-7.03,29.76,75.99,61,100,1.25,CD,1603681856
71,nanortalik,60.14,-45.24,34.16,91,100,9.24,GL,1603681858
72,luderitz,-26.65,15.16,62.65,62,9,20.92,NA,1603681860
73,dikson,73.51,80.55,20.8,98,100,8.84,RU,1603681627
74,hilo,19.73,-155.09,84.2,62,1,10.29,US,1603681730
75,jizan,17.33,42.67,82.4,83,0,4.7,SA,1603681867
76,altamont,42.21,-121.74,35.6,24,1,16.11,US,1603681869
